Sentence,Label
"ਹੱਦ ਆ ਯਾਰ ਨਕਲੀ ਵਿਊ ਲੈਣੇ ਹੁੰਦੇ ਆ ਤਾ ਸਾਬ ਨਾਲ ਲੈ ਲਿਆ ਕਰੋ , ਕੌਣ ਸੁਣਦਾ ਇਹੋ ਜਿਹਿਆ ਨੂੰ ਅਸੀ ਤਾ ਪਹਿਲੀ ਵਾਰ ਦੇਖਿਆ ਗੀਤ",Hate
ਪੱਪੂ ਕੁਮਾਰ,Hate
।।ਵ,Appreciation
ਯਾਰ ਇਹ ਕਿਹੜੇ ਮੁਲਖ ਗਿਆ ਸੀ 🤔🤔,Hate
ਅੱਤ।,Disappointment
ਬਹੁਤ ਵਧੀਆ,Disappointment
ਅੱਤ ਗੀਤ,Appreciation
ਜਦ ਤੁਸੀ ਗੱਡੀ ਵਿੱਚੋਂ ਉਤਰਦੇ ਹੋ ਬਹੁਤ ਸੋਹਣੇ ਲੱਗਦੇ ਹੋ,Neutral
ਪਹਿਲੀ ਵਾਰ ਗਾਣਾ ਗਾਇਆ vadia,Appreciation
ਵਾਹ ਜੀ ਵਾਹ ਸਿਰਾ ਸਿੱਧ ਮਹਿਰਾਜ 9o56766890 9041675890,Appreciation
ਬੀਬਾ ਤੈਨੂੰ ਅੱਤ ਦਾ ਮਤਲਬ ਪਤਾ ਐ ਅੱਤ ਹੁੰਦੀ ਕੀ ਐ ਸਾਰਿਆਂ ਨੂੰ ਖੁੱਲਾ ਚੈਲੇਂਜ ਐ ਅੱਤ ਸ਼ਬਦ ਦਾ ਮਤਲਬ ਕੀ ਹੁੰਦਾ ਐ,Appreciation
ਵਡੀਓ ਬਹੁਤ ਸੋਹਣੀ  ਸੇਧ ਦੇਣ ਵਾਲੀ ਆ ।।ਗਰੀਬ ਕੁੜੀਆ ਦੇ ਵਿਆਹ ਕਰਵਾਏ ek seen  ch।।,Appreciation
ਆ ਸਾਡਾ ਵਿਰਸਾ,Appreciation
ਬਕਵਾਸ ਗਾਣਾ ਬਕਵਾਸ ਸਿੰਗਰ,Appreciation
"ਜੱਟ ਏਦਾ ਹੀ ਅੱਤ ਕਰਾਉਂਦਾ 
ਜਦੋ ਮੁੱਛ ਦਾ ਸਵਾਲ ਹੋ ਜੇ 
ਬੂਰਰਰਰਰਾ",Neutral
ਭੈਣਚੋਦ ਚਵਲ ਸਾਲੀ ਗਸ਼ਤੀ।,Appreciation
ਜਾ,Appreciation
ਬੀਬਾ ੲਿਹ ਤਾ ਦੱਸਦੇ ੲਿਸ ਨੇ ਕੰਮ ਕਿਹੜਾ ਕਰਿਅਾ,Disappointment
ਖਾਸ ਨੀ,Appreciation
ਵਧੀਆ,Appreciation
"ਸ
ਸਪਾਣੀ।  ਸਟੂਡੇ।  ਡਿਓਵੇ",Hate
ਕਿਉਂ ਪੰਪ ਮਾਰਦੀ ਆ ਸਾਲੀ ਸਿਧੇ ਜੱਟ ਦੀ,Disappointment
ਪੰਜਾਬ,Neutral
ਰਣਦੀਪ,Disappointment
"ਨਾ ਅਵਾਜ ,ਨਾ ਅਨਦਾਜ ,ਨਾ ਗਾਨਾ ,ਕੀ ਹੈ ਇਹ",Appreciation
ਅੱਤ,Neutral
ਜੇੜੇਆਂ ਨੇ ਆ ਅੱਤ ਅੱਤ ਲਾ ਰੱਖੀ ਐ ਇਹਨਾ ਨੂੰ ਕਿਸੇ ਨੂੰ ਨੀ ਪਤਾ ਅੱਤ ਕਿਸ ਨੂੰ ਕਿਹਾ ਜਾਂਦਾ ਹੈ,Hate
"ਉਚੀਆਂ ਇਮਾਰਤਾਂ ਦੇ ਸੁਪਨੇ ਨਾ ਦੇਖ 
ਜਦੋਂ ਅਉਂਦਾ ਆ ਭੁਚਾਲ ਇਹ ਢਹਿ ਜਾਂਦੀਆਂ",Appreciation
ਗਾਣੇ ਵਾਲੀ ਵੀ ਅੱਤ ਕਰਵਾਤੀ,Neutral
ਵਹੁਤ ਸੁਨਦਰ ਗਗਨ ਜੀ,Disappointment
ਆ,Appreciation
"ਯਰ, ਪਹਿਲਾਂ ਨਕਲੀ ਵਿੳੂ ਲੈਣੇ ਬੰਦ ਕਰਦੋ ਭਾੲੀ । ਪਹਿਲਾਂ 'ਕੱਲੇ Speed Records ਅਾਲੇ ੲੀ ਹੁੰਦੇ ਸੀ ਹੁਣ ਸਾਰੀਅਾ ਕੰਪਨੀਅਾਂ ਨੇ ੲੀ ਨਕਲੀ ਵਿੳੂਜ਼ ਅਾਲੀ ਝੜੀ ਲਾ ਰੱਖੀ ਅਾ । ""ਗਾਂਧੀ ਬਨਾਮ ਭਗਤ ਸਿੰਘ"" ਗਾਣੇ ਦੇ ਕਿੳੁਂ ਨੀ ਹੋੲੇ 1 ਦਿਨ 'ਚ ਮਿਲੀਅਨ ਵਿੳੂ???? ੳੁਹ ਤਾਂ ਸੁਣਿਅਾ ਸਭ ਨੇ ਅਾ ਤੇ ਪਸੰਦ ਵੀ ਕੀਤਾ । ੳੁਹ ਅਸਲੀ ਗਾਣਾ ਸੀ, ਤੇ ਅਸਲੀ ਵਿੳੂ ਸੀ ੳੁਸ ਗਾਣੇ ਦੇ ।
""ੲਿਹ ਜੱਟ ਤਾਂ ਹੁਣ ਗੀਤਾਂ ਵਿੱਚ ੲੀ ਬੜ੍ਹਕਾਂ ਮਾਰਦਾ, ਅਸਲ 'ਚ ਤਾਂ ਮੰਗਿਅਾੲੀ ਨੇ ਚੀਕਾਂ ਕਢਾ ਰੱਖੀਅਾਂ""
ਨਾ ਤਾਂ ੲਿਹ ਫੁਕਰੀ ਜੀ ਦੀ ਅਾਵਾਜ਼ ਚੱਜ ਦੀ ਅਾ ਤੇ ਨਾ ੲਿਹ ਅਾਪ । ਸੱਚੀਂ ਯਰ ! ਧਰਮ ਨਾਲ *ਬਾਹਲੀ* ਫੁਕਰੀ ਅਾ, ਪਰ ਗੱਲ ਦਾ ਅੱਜ ਤੱਕ ਪਤਾ ਨੀ ਲੱਗਿਅਾ ਕਿ ਹੈ ਕਿਹੜੀ ਗੱਲ ਤੋਂ ।",Disappointment
ਸਿਰਾ👍👍👍👍,Hate
sidhu moose wall ਨੇ ਪੂਰੇ ਪੰਜਾਬ ਚ ਅੱਤ ਕਰਾਤੀ,Appreciation
"ੲੈਨਾ ਸੋਹਨਾ ਗਾਣਾ 
ਜॅਟੀ ਦੇ ਗਾਣੇ ਨੇ ਅॅਤ ਕਰਵਾਤੀ 
ਸੁਨੇਹਾ ਬਹੁਤ ਵਧੀਅਾ िੲॅਕਜੁॅਟਤਾ ਨਾਲ ਰिਹਣ ਦਾ",Appreciation
"Euro 30 ਦਿਹਾੜੀ ਜਟ  ਦੀ,
ਸਾਡੀ Europe  ਨੇ ਬਸ ਕਰਵਾਤੀ।
ਇਥੇ  ਤਕ ਪੋਹਚਣਨ  ਲਈ  ਸੀ  ,
 ਪੈਲੀ ਬਾਪੂ ਦੀ ਗਹਿਨੇ ਧਰਵਾਤੀ।
 Euro 30 ਦਿਹਾੜੀ ਜਟ  ਦੀ ,",Neutral
ਹਰੇਕ ਗਾਣੇ ਿਵਚ ਪਤੰਦਰ ਵੱਖਰਾ ਹੀ ਰੱਖਦੀ ਆ,Hate
ਕਿਹੜੀ ਇਹ ਨੇ ਬਲੇਕ ਕੀਤੀ ਬਾਹਰ ਜਾਕੇ,Appreciation
ਵਿਡਿਓ ਸਕਰੀਪਟ 🤮🤮😂😂,Appreciation
ਨਿਰੀ ਫੁਕਰੀਆੰ,Appreciation
ਕਈਆ ਦਿਮਾਗ਼ ਯਾਰੋ ਡਾਲਰਾ ਹਿਲਾਏ ਪੱਟੇ ਨੇ  ਕਨੇਡਾ ਜਿਹੜੇ ਰਾਸ ਨਹੀ ਆਏ 🐂🐂,Appreciation
ਝੂਠ ਆ ਸਬ ਗੀਤ ਵਿੱਚ,Appreciation
ਫੁੱਕਰੀ,Disappointment
ਸਾਡਾ ਵੀ ਇਕ ਗੀਤ ਗਾ ਲੋ ਜੀ 8847536460,Hate
ਘੈਂਟਟਟਟ .ਕੈਂਮਮਮ.ਸਿਰਾਂ..ਮਾਨ ਜੀ ਅੱਤ ਤਾਂ ਤੁਸੀ ਆਪ ਹੀ ਕਰਵਾਤੀ। 😍😍😍😍😘😘😘😚😚😚,Disappointment
Fukਰੀ,Hate
ਕੁੜੀ ਘੱਟ ਤੇ ਖੁਸਰਾ ਜਿਆਦਾ ਲੱਗਦੀ ਆ...,Hate
ਜਮਾ ਅਕਲ ਹੈਨੀ ਤੈਨੂੰ ਫਾਂਟੀ ਵਾਜ਼ ਤੇਰੀ ਸਿਰੇ ਦੀ ਬਤਮੀਜ ਕੁੜੀ,Disappointment
ਪਾਥੀਆ ਮਾਰੋ ਇਹਨਾ ਦੇ,Hate
ਪਹਿਲਾਂ ਸ਼ਰਮ ਕਰ ਲਓੁ ਫੇਰ ਅੱਤ ਕਰਵਾ ਲਿਓ ...??? ਜੱਟ ਕਿੱਧਰ ਨੂੰ ਜਾ ਰਿਹਾ,Neutral
ਵੀਡੀਓ ਤਾਂ ਸੋਹਣੀ  ਆ,Appreciation
ਕਿਹੜਾ ਮੁੰਡਾ ਜਿਹੜਾ ਆਪਣੀ ਕਮਾਈ ਵਿੱਚੋ ਲੋਕਾ ਨੂੰ ਬੁਲਟ ਦਾਨ ਕਰਦਾ ਫਿਰਦਾ ਯਰ ਹੱਦ ਆ ਫੁੱਕਰਪਨੇ ਦੀ ਗੀਤਾ ਵਿੱਚ ਹਕੀਕਤ ਪੇਸ਼ ਕਰੋ ਨਾ ਕਿ ਫੁਕਰਪੁਨਾ,Hate 
ਇੰਨਾ ਗੀਤਾ ਕਰਕੇ ਹੀ ਅੱਜ ਦੀ ਪੀੜੀ ਬਾਹਰਲੇ ਮੁਲਕਾ ਨੂੰ ਜਾ ਰਹੀ ਹੈ ।,Hate 
ਜੱਟ ਤੋਂ ਬਿਨਾਂ ਵੀ ਪੰਜਾਬ ਵਿੱਚ ਅੱਤ ਕਰਵਾਉਣ ਵਾਲੇ ਹੈਗੇਆ ਬੀਬੀ,Hate
"ਜਿਹੜੀ ਇਕ ਕਨਾਲ ਪਾਈ ਸੀਗੀ ਰੋਡ ਤੇ ਉਹ ਵੀ ਗੇਣੇ ਕਰਵਾ ਤੀ,
ਸਿਦਦੇ ਸਾਦੇ ਪੈਂਡੂ ਜੱਟ ਦੀ ਗੀਤ ਵਿੱਚ ਹਵਾ ਬਣਾ ਤੀ.......

ਘਰੇ ਬੈਠੀ ਆ ਕਵਾਰੀ ਵਿਆਓਣ ਨੂੰ,
ਹੈਨੀ ਪੈਸੇ ਉਦੇ ਵਿਆਹ ਉੱਤੇ ਲਾਉਣ ਨੂੰ,
ਨੌਕਰੀ ਮਿਲੀ ਨੀ MA ਤੱਕ ਪੜਾ ਤੀ
ਸਿਦਦੇ ਸਾਦੇ ਪੈਂਡੂ ਜੱਟ ਦੀ ਗੀਤ ਵਿੱਚ ਹਵਾ ਬਣਾ ਤੀ.......

ਹੈਨੀ ਕਪੜੇ ਸੀ ਸਾਡੇ ਕੋਲ ਪਾਉਣ ਨੂੰ,
ਲਈ ਠੇਕੇ ਉੱਤੇ ਥੋਡੀ ਜੇਹੀ ਵੋਨ ਨੂੰ,
ਬੀਜੀ ਕਣਕ ਵੀ ਅੱਗ ਨੇ ਮਚਾ ਤੀ,
ਸਿਦਦੇ ਸਾਦੇ ਪੈਂਡੂ ਜੱਟ ਦੀ ਗੀਤ ਵਿੱਚ ਹਵਾ ਬਣਾ ਤੀ.......

ਕੋਈ ਮਿਲਦਾ ਨੀ ਸਿੰਗਰ ਗੀਤ ਗਾਉਣ ਨੂੰ,
ਭਰੀ ਬੈਠੇ ਆ ਉਹ ਕਾਪੀਆਂ ਮਚੋਣ ਨੂੰ,
ਏਕਮ ਢਾਬ ਨੇ ਤਾਂ ਗੱਲ ਸੱਚੀ ਸੁਣਾ ਤੀ,
ਸਿਦਦੇ ਸਾਦੇ ਪੈਂਡੂ ਜੱਟ ਦੀ ਗੀਤ ਵਿੱਚ ਹਵਾ ਬਣਾ ਤੀ.......",Hate
ਗੱਲ ਆ ਕੋਈ ਕੀ ਬਕਬਾਸ ਮਾਰੀ ਆ ਸਤਿਆਨਾਸ ਕਰਤਾ ਪੰਜਾਬੀ ਮਾਂ ਬੋਲੀ ਦਾ,Hate 
"ਕਿਹੜਾ ਪਿੰਡ ਤੇ ਕੋਣ ਮੁੰਡਾ ਅਾ ੳੁਹ ਸਾਨੂੰ ਵੀ ਮਿਲਾ ਦਿਓ ਅਸੀ ਵੀ ਵਧਾੲੀ ਦੇਨੇ ਅਾ ਸ਼ਾੲਿਦ ਸਾਨੂੰ ਵੀ ਗੱਡੀ ਜਾ ਬੁਲੇਟ ਦੇ ਦਵੇ, fukri vali v hadh karti ene  , vaddi ayi jatti",Appreciation
ਫੁਕਰੀ,Hate
ਏਨੀ ਛੇਤੀ ਅਤ ਨੀ ਹੁੰਦੀ,Sadness
ਆ ਗੀ ਫੁਕਰੀ,Disappointment
ਆਹਾ ਕੂੜੀ ਨੇ ਤਾ ਆਤ ਕਰਵਾ ਦਿੱਤੀ,Neutral
ਛਰਮ ਕਰ ਕੋੲੀ 😡ਸਾਲੀ Jaat ਦੀ 👊,Disappointment
ਜੇ ਕਿਸੇ ਕੋਲ ਸੈਲੋ ਟੇਪ ਹੈ ਤਾਂ ਇਸ ਦੇ ਮੂੰਹ ਤੇ     ਲਾ ਦੋ place,Hate
ਵਧੀਆ ਗੱਲ ਇਹ ਲਗੀ video ਚ ਬੰਦਾਂ ਜਦੋ ਅਮੀਰ ਹੋਗਿਆ ਫਿਰ ਸਬ ਦੀ ਮਦਦ ਕਰ ਰਿਹਾ Good job👌,Hate
ਕਿਹੜੇ ਜੱਟਾ ਦੀ ਗੱਲ ਕਰਦੀ ਆ ਬੀਬੀ ( ਜੱਟ ਦੀ ਜੂਨ ਬੁਰੀ ਤੜਫ ਤੜਫ ਮਰਜਾਣਾ ),Disappointment
ਭਾਈ ਬਾਲੀ ਫੁਕਰੀ ਆ ਬੀਬੀ ਤਾ,Hate
ਫੁਕਰਾ ਪਨ ਜਾਹਦਾ ਆ ਗਗਨ ਅਨਮੋਲ ਚ,Appreciation
ਮਾਨ ਜੀ   ਤੁਹਾਡਾ   ਕਾਲਾ   ਸੂਟ   ਤੇ  ਡਾਸ    ਬਹੁਤ   ਵਧੀਆ   ।,Hate
ਦੁਨੀਆਂ ਦਾ ਸਭ ਤੋਂ f*** song,Hate
"ਗੀਤ ਚ ਗੱਲ ਬਾਤ ਨਹੀ ਹੈ ਗਈ 
8 ਸਾਲ ਇਹਨਾ ਕੁਝ ਨਹੀ ਹੁੰਦਾ ਜਿੰਨਾ ਕੁਝ ਅਨਮੋਲ ਗਗਨ ਮਾਨ ਨੇ ਦੇਖਤਾ ।",Appreciation
"ਗੀਤਾ ਵਿਚ ਅੱਤ ਕਰੀ ਜਾਵੋ 
ਕਿਸੇ ਗਰੀਬ ਦਾ ਵੀ ਭਲਾ ਕਰਦਿਅਾ ਕਰੋ 
ਜਿੰਨਾ ਦੀ ਫਸਲ ਦਾ ਵੀ ਮੁੱਲ ਨੀ ਪੇਦਾ ਤੁਸੀ ਪੱਤਾ ਨੀ ਕਹਿੜੀ ਅੱਤ ਕਰੀ ਜਾਦੀ ਅਾ",Disappointment
"hahahahha,,, Chalo koi na bai,,,,, Video hi aa,,,, ehde ch tan bhavein ਜਹਾਜ ਵੰਡਦਾ ਦਿਖਾ ਦੇਣ,,, ਗੱਡੀਆਂ ਵੰਡੀ ਜਾਂਦਾ ਐ,,, ਬੁਲਟ ਵੰਡੀ ਜਾਂਦੈ,,,  ਸਾਲਾ,,, ਉਥੇ ਜਾ ਕੇ ਤਾਂ ਕੋਈ ਰਿਸ਼ਤੇਦਾਰ ਨੀ ਬਾਤ ਪੁਛੱਦਾ,,,,",Hate
ਗ਼ੁੱਸਾ ਨਾ ਕਰੀ ਬੀਬੀ ਗੱਲ ਗੁਲ ਬਣੀ ਨੀ ਬਸ ਐਵੀ ਫੋਕੀ ਫੜ ਜਹੀ ਮਾਰ ਤੀ ਤੂੰ,Hate
ਉਹ ਕਿਹੜਾ ਦੇਸ਼ ਆ ਜਿੱਥੇ 8ਸਾਲ ਚ ਇਨਾ ਅਮੀਰ ਹੋ ਜਾਂਦਾ ਸਾਡੇ ਪਿੰਡ ਵਾਲਿਆ ਦੇ ਚਿੱਟੀ ਦਾਹੜੀ ਆ ਗਈ ਕੋਈ ਇੰਨਾ ਅਮੀਰ ਨੀ ਹੋਇਆ,Appreciation
ਤੇਰੀ ਗਲ ਮੈਨੂੰ ਵਦੀਆ ਆ ਵੀਰ ਕੀ ਉ ਚਿੱਟਾ ਵੇਚਦਾ ਸੀ ਜਿਨ੍ਹਾਂ ਮਰਜੀ ਅਮੀਰ ਆ ਕੋਈ ਨਹੀਂ ਕਿਸੇ ਦੀ ਬਾਤ ਪੁਛਦਾ,Hate
Ehda da ki kr aea eh bahr ehda diya video hi  bahar jaan da ਬੜਾਵਾ ਦੇਂਦੀਆਂ ਨੇ ਫਿਰ ਲਾਸ਼ਾਂ ਹੀ ਆਉਂਦੀਆਂ ਬਾਹਰੋਂ Kush tah soch lea kro....???,Disappointment
"ਬੱਸ ਰੱਬ ਮਿਹਰ ਭਰਿਆ ਹੱਥ ਰੱਖੇ, ਮੈਂ ਵੀ ਇੱਦਾਂ ਅੱਤ ਕਰਵਾਉਣੀ।",Disappointment
ਬਹੁਤ ਫੁੱਕਰੀ ਮਾਰ ਦਿੱਤੀ ਇਹਦਾ ਗੀਤ ਜਦੋ ਵੀ ਆਵੇ ਫੁੱਕਰੀ ਹੀ ਹੁੰਦੀ ਰੱਜ ਕੇ......... ਗੀਤ ਚ ਫੁੱਕਰੀ ਮਾਰ ਕੇ ਵੀਡੀਉ ਵਿੱਚ ਮੈਸਜ ਦੇਣ ਦੇ ਬਹਾਨੇ ਮਾਰਦੀ ਆ ਫੁੱਕਰੀ,Disappointment
ਗਾਨਾ ਤਾ ਠੀਕ ਠਾਕ ਆ. ਪਰ ਪੰਜਾਬੀ ਪੂਰੀ ਠੇਠ ਬੋਲਦੀ ਆ ਅਨਮੋਲ ਗਗਨ ਮਾਨ👌,Disappointment
ਅੱਤ ਕਰਵਾਤੀ ਗਗਨ ਅਨਮੋਲ ਮਾਨ ਨੇ,Disappointment
ਜਲੂਸ ਕੱਢਤਾ ਪੰਜਾਬੀ ਗਾਇਕੀ ਦਾ ਲੰਡੂ ਕਲਾਕਾਰਾਂ ਨੇ,Disappointment
ਇਹਨਾ ਗਾਓਣ ਵਾਲਿਆ ਨੇ ਹੀ ਕਿਸਾਨਾ ਨੂੰ ਖੁਦਕੁਸ਼ੀ ਕਰਨ  ਲਈ ਮਜਬੂਰ ਕੀਤਾ,Disappointment
ਇਹਨਾਂ ਕਰਕੇ ਪੰਜਾਬ ਦਾ ਵੇੜਾ ਗਰਕ ਹੋ ਰਿਹਾ,Blessing
ਗੱਪ ਨਜਾਇਜ ਵੱਡਾ ਸੱਡਤਾ...ਰੁੜਿਆ ਨੀ🤣,Hate
ਸਿਰੇ ਦਾ ਬੇਕਾਰ ...ੲਿਹ ਗਲਾਂ ਸੁਪਣਿਅਾਂ ਚ ਦੇਖੀਅਾ ਚੰਗੀਅਾਂ ਲਗਦੀਅਾ but reallty is diffrent ਗਾਣੇ ਚ ਤਾਂ ਨਾਲੇ ਫੁਕਰਾਪਣ ਬਹੁਤ ਲੱਗਦਾ,Appreciation
ਜਮਾਂ ਟੱਟੀ ਗਾਣਾ ਕੁੜੀਏ ਤੇਰਾ ਜਮਾਂ ਈ ਤੇਰੇ ਵਰਗਾ..,Appreciation
"ਆਹ ਇੱਕ ਹੋਰ ਗਾਣੇ ਚ, ਗਗਨ ਅਨਮੋਲ ਨੇ ਫੁਕਰੀ ਮਾਰਤੀ 😂😂😂😂 ਹਾਹਾਹਾਹਾ",Appreciation
"ਗੀਤ ਬਹੁਤ ਵਧੀਅਾ ਪਰ Video ਚਿ ਕੁਝ ਜਾਦਾ ਹੀ ਅੱਤ ਕਰਵਾ ਤੀ ੲੇਨੀ ਹੋਣੀ ਨੲੀ ਸੀ ਚਾਹੀਦੀ"" Normal  ਰੱਖਦੇ ਕੰਮ ਤਾ ਵਧੀਅਾ ਹੁਣਾ ਸੀ""""",Sadness
ਬਹੁਤੀ ਫੁਕਰੀ ਨਹੀਂ ਹੋ ਗਈ ਲੱਗਦੀ,Hate
ਵੀਡੀਓ ਚ ਤਾਂ ਫੁੱਦੂ ਈ ਲਾਇਆ...,Disappointment
"ਬੁਰਾ ਹਾਲ ਹੋਇਆ ਪਇਆ ਜੱਟਾ ਦਾ ਤੁਸੀ ਬੱਸ ਆਪਣੇ view ਲਈ ਜੱਟਾ ਨੂੰ ਹਵਾ ਦੇ ਰਿਹੇ ਹੋ ਤੂਹਾਨੂੰ ਜੇ ਜੱਟਾ ਨਾਲ ਇੰਨਾ ਹੀ ਪਿਆਰ ਏ ਫਿਰ ਇਸ ਤਰ੍ਹਾਂ ਦਾ ਗੀਤ ਕਰਦੇ ਜੱਟ 1ਮਹੀਨਾ ਮੰਡੀਆਂ ਵਿੱਚ ਰੁਲਦਾ ਜਿੰਨਾ ਦੀ ਕਣਕ ਨੂੰ ਅੱਗ ਲੱਗ ਗਈ ਉਹ ਘਰੋਂ ਬੇਘਰ ਹੋਏ ਗਏ ਸਰਕਾਰ ਉਹਨਾਂ ਦੀ ਮੱਦਦ ਕਰੇ ਤੂੰ ਤੇ ਜੱਟਾ ਵਾਲੇ ਗਾਣੇ ਗਾ ਕੇ ਪਤਾ ਨਹੀ 2, 3 ਜੀ BMW  ਲੈ ਲਈ ਜੱਟਾ ਕੋਲ ਕੀ ਰਿਹ ਗਇਆ 👏👏👏",Disappointment
